prompt,output_data_type,attribute_id,attribute_label
,integer,44,k_country-income|0
,integer,45,k_country-income|1
,integer,46,k_country-income|2
,integer,47,k_country-income|3
,integer,48,k_geographic-feature-and-biomes|0
,integer,49,k_geographic-feature-and-biomes|1
,integer,50,k_geographic-feature-and-biomes|2
,integer,51,k_geographic-feature-and-biomes|3
,integer,52,k_geographic-feature-and-biomes|4
,integer,53,k_geographic-feature-and-biomes|5
,integer,54,k_geographic-feature-and-biomes|6
,integer,55,k_geographic-feature-and-biomes|7
,integer,56,k_geographic-feature-and-biomes|8
,integer,57,k_geographic-feature-and-biomes|9
,integer,58,k_geographic-feature-and-biomes|10
,integer,59,k_geographic-feature-and-biomes|11
,integer,60,k_geographic-feature-and-biomes|12
,integer,61,k_geographic-feature-and-biomes|13
,integer,62,k_geographic-feature-and-biomes|14
,integer,63,k_geographic-feature-and-biomes|15
,integer,64,k_geographic-feature-and-biomes|16
,integer,65,k_geographic-feature-and-biomes|17
,integer,66,k_geographic-feature-and-biomes|18
,integer,67,k_geographic-feature-and-biomes|19
,integer,68,k_geographic-location|0
,integer,69,k_governance-scale|0
,integer,70,k_governance-scale|1
,integer,71,k_governance-scale|2
,integer,72,k_governance-scale|3
,integer,73,k_governance-scale|4
,integer,74,k_governance-scale|5
,integer,75,k_governance-scale|6
,integer,76,k_health-exposure|0
,integer,77,k_health-exposure|1
,integer,78,k_health-exposure|2
,integer,79,k_health-exposure|3
,integer,80,k_health-exposure|4
,integer,81,k_health-exposure|5
,integer,82,k_health-exposure|6
,integer,83,k_health-exposure|7
,integer,84,k_health-exposure_sub|0
,integer,85,k_health-exposure_sub|1
,integer,86,k_health-exposure_sub|2
,integer,87,k_health-exposure_sub|3
,integer,88,k_health-exposure_sub|4
,integer,89,k_health-metrics|0
,integer,90,k_health-metrics|1
,integer,91,k_health-metrics|2
,integer,92,k_health-metrics|3
,integer,93,k_health-metrics_sub|0
,integer,94,k_health-metrics_sub|1
,integer,95,k_health-metrics_sub|2
,integer,96,k_health-metrics_sub|3
,integer,97,k_health-metrics_sub|4
,integer,98,k_health-metrics_sub|5
,integer,99,k_health-metrics_sub|6
,integer,100,k_health-metrics_sub_a|0
,integer,101,k_health-metrics_sub_a|1
,integer,102,k_health-metrics_sub_a|2
,integer,103,k_health-metrics_sub_a|3
,integer,104,k_health-metrics_sub_a|4
,integer,105,k_health-metrics_sub_b|0
,integer,106,k_health-metrics_sub_b|1
,integer,107,k_health-metrics_sub_c|0
,integer,108,k_health-metrics_sub_c|1
,integer,109,k_health-metrics_sub_c|2
,integer,110,k_health-metrics_sub_c|3
,integer,111,k_health-metrics_sub_c|4
,integer,112,k_health-outcomes|0
,integer,113,k_health-outcomes|1
,integer,114,k_health-outcomes|2
,integer,115,k_health-outcomes|3
,integer,116,k_health-outcomes_sub|0
,integer,117,k_health-outcomes_sub|1
,integer,118,k_health-outcomes_sub|2
,integer,119,k_health-outcomes_sub_sub|0
,integer,120,k_health-outcomes_sub_sub|1
,integer,121,k_health-outcomes_sub_sub|2
,integer,122,k_health-outcomes_sub_sub|3
,integer,123,k_health-outcomes_sub_sub_sub|0
,integer,124,k_health-outcomes_sub_sub_sub|1
,integer,125,k_health-outcomes_sub_sub_sub|2
,integer,126,k_health-outcomes_sub_sub_sub|3
,integer,127,k_health-outcomes_sub_sub_a|0
,integer,128,k_health-outcomes_sub_sub_a|1
,integer,129,k_health-outcomes_sub_sub_a|2
,integer,130,k_health-outcomes_sub_sub_a|3
,integer,131,k_health-outcomes_sub_sub_a|4
,integer,132,k_health-outcomes_sub_sub_a|5
,integer,133,k_health-outcomes_sub_a|0
,integer,134,k_health-outcomes_sub_a|1
,integer,135,k_health-outcomes_sub_a|2
,integer,136,k_health-outcomes_sub_a|3
,integer,137,k_health-outcomes_sub_a|4
,integer,138,k_health-outcomes_sub_a|5
,integer,139,k_health-outcomes_sub_a|6
,integer,140,k_health-outcomes_sub_a_sub|0
,integer,141,k_health-outcomes_sub_a_sub|1
,integer,142,k_health-outcomes_sub_a_sub|2
,integer,143,k_health-outcomes_sub_a_sub|3
,integer,144,k_health-outcomes_sub_a_sub_sub|0
,integer,145,k_health-outcomes_sub_a_sub_a|0
,integer,146,k_health-outcomes_sub_a_sub_a|1
,integer,147,k_health-outcomes_sub_a_sub_b|0
,integer,148,k_health-outcomes_sub_a_sub_b|1
,integer,149,k_health-outcomes_sub_a_sub_b_sub|0
,integer,150,k_health-outcomes_sub_a_sub_b_sub_a|0
,integer,151,k_health-outcomes_sub_a_sub_b_sub_a|1
,integer,152,k_health-outcomes_sub_a_sub_c|0
,integer,153,k_health-outcomes_sub_a_sub_c|1
,integer,154,k_health-outcomes_sub_a_sub_c|2
,integer,155,k_health-outcomes_sub_a_sub_c|3
,integer,156,k_health-outcomes_sub_a_sub_c|4
,integer,157,k_health-outcomes_sub_a_sub_c|5
,integer,158,k_health-outcomes_sub_a_sub_c|6
,integer,159,k_health-outcomes_sub_a_sub_c|7
,integer,160,k_health-outcomes_sub_a_sub_c|8
,integer,161,k_health-outcomes_sub_a_sub_c|9
,integer,162,k_health-outcomes_sub_a_sub_c|10
,integer,163,k_health-outcomes_sub_a_sub_c|11
,integer,164,k_health-outcomes_sub_a_sub_c|12
,integer,165,k_health-outcomes_sub_a_sub_c|13
,integer,166,k_health-outcomes_sub_a_sub_c|14
,integer,167,k_health-outcomes_sub_a_sub_c|15
,integer,168,k_health-outcomes_sub_a_sub_c|16
,integer,169,k_health-outcomes_sub_a_sub_c|17
,integer,170,k_health-outcomes_sub_a_sub_c|18
,integer,171,k_health-outcomes_sub_a_sub_c|19
,integer,172,k_health-outcomes_sub_a_sub_c|20
,integer,173,k_health-outcomes_sub_a_sub_c|21
,integer,174,k_health-outcomes_sub_a_sub_d|0
,integer,175,k_health-outcomes_sub_a_sub_d|1
,integer,176,k_health-outcomes_sub_a_sub_d|2
,integer,177,k_health-outcomes_sub_a_sub_d|3
,integer,178,k_health-outcomes_sub_a_sub_d|4
,integer,179,k_health-outcomes_sub_a_sub_d|5
,integer,180,k_health-outcomes_sub_a_sub_e|0
,integer,181,k_health-outcomes_sub_a_sub_e|1
,integer,182,k_health-outcomes_sub_a_sub_e|2
,integer,183,k_health-outcomes_sub_a_sub_e|3
,integer,184,k_health-outcomes_sub_a_sub_e|4
,integer,185,k_health-outcomes_sub_a_sub_f|0
,integer,186,k_health-outcomes_sub_a_sub_f|1
,integer,187,k_health-outcomes_sub_a_sub_f|2
,integer,188,k_health-outcomes_sub_a_sub_f|3
,integer,189,k_health-outcomes_sub_a_sub_f|4
,integer,190,k_health-outcomes_sub_a_sub_f|5
,integer,191,k_health-outcomes_sub_a_sub_f|6
,integer,192,k_health-outcomes_sub_a_sub_f|7
,integer,193,k_health-outcomes_sub_a_sub_f|8
,integer,194,k_health-outcomes_sub_a_sub_f|9
,integer,195,k_health-outcomes_sub_b|0
,integer,196,k_health-outcomes_sub_b|1
,integer,197,k_health-outcomes_sub_b|2
,integer,198,k_health-outcomes_sub_b|3
,integer,199,k_health-outcomes_sub_b|4
,integer,200,k_health-outcomes_sub_b|5
,integer,201,k_health-outcomes_sub_b|6
,integer,202,k_health-outcomes_sub_b|7
,integer,203,k_health-outcomes_sub_b|8
,integer,204,k_health-outcomes_sub_b|9
,integer,205,k_health-outcomes_sub_b|10
,integer,206,k_health-outcomes_sub_b|11
,integer,207,k_health-outcomes_sub_b_sub|0
,integer,208,k_health-outcomes_sub_b_sub|1
,integer,209,k_health-outcomes_sub_b_sub|2
,integer,210,k_health-outcomes_sub_b_sub|3
,integer,211,k_health-outcomes_sub_b_sub|4
,integer,212,k_health-outcomes_sub_b_sub|5
,integer,213,k_health-outcomes_sub_b_sub|6
,integer,214,k_health-outcomes_sub_b_sub|7
,integer,215,k_health-outcomes_sub_b_sub|8
,integer,216,k_health-outcomes_sub_b_sub|9
,integer,217,k_health-outcomes_sub_b_sub|10
,integer,218,k_health-outcomes_sub_b_sub|11
,integer,219,k_health-outcomes_sub_b_sub_a|0
,integer,220,k_health-outcomes_sub_b_sub_a|1
,integer,221,k_health-outcomes_sub_b_sub_a|2
,integer,222,k_health-outcomes_sub_b_sub_a|3
,integer,223,k_health-outcomes_sub_b_sub_a|4
,integer,224,k_health-outcomes_sub_b_sub_a|5
,integer,225,k_health-outcomes_sub_b_sub_b|0
,integer,226,k_health-outcomes_sub_b_sub_b|1
,integer,227,k_health-outcomes_sub_b_sub_b|2
,integer,228,k_health-outcomes_sub_b_sub_b_sub|0
,integer,229,k_health-outcomes_sub_b_sub_b_sub|1
,integer,230,k_health-outcomes_sub_b_sub_c|0
,integer,231,k_health-outcomes_sub_b_sub_c|1
,integer,232,k_health-outcomes_sub_b_sub_c|2
,integer,233,k_health-outcomes_sub_b_sub_c|3
,integer,234,k_health-outcomes_sub_b_sub_c|4
,integer,235,k_health-outcomes_sub_b_sub_c|5
,integer,236,k_health-outcomes_sub_b_sub_c|6
,integer,237,k_health-outcomes_sub_b_sub_c|7
,integer,238,k_health-outcomes_sub_b_sub_c|8
,integer,239,k_health-outcomes_sub_b_sub_c|9
,integer,240,k_health-outcomes_sub_b_sub_d|0
,integer,241,k_health-outcomes_sub_b_sub_d|1
,integer,242,k_health-outcomes_sub_b_sub_d|2
,integer,243,k_health-outcomes_sub_b_sub_d|3
,integer,244,k_health-outcomes_sub_b_sub_d|4
,integer,245,k_health-outcomes_sub_b_sub_d|5
,integer,246,k_health-outcomes_sub_b_sub_d|6
,integer,247,k_health-outcomes_sub_b_sub_d|7
,integer,248,k_health-outcomes_sub_b_sub_d|8
,integer,249,k_health-outcomes_sub_b_sub_d|9
,integer,250,k_health-outcomes_sub_b_sub_d|10
,integer,251,k_health-outcomes_sub_b_sub_e|0
,integer,252,k_health-outcomes_sub_b_sub_e|1
,integer,253,k_health-outcomes_sub_b_sub_e|2
,integer,254,k_health-outcomes_sub_b_sub_e|3
,integer,255,k_health-outcomes_sub_b_sub_e|4
,integer,256,k_health-outcomes_sub_b_sub_f|0
,integer,257,k_health-outcomes_sub_b_sub_f|1
,integer,258,k_health-outcomes_sub_b_sub_f|2
,integer,259,k_health-outcomes_sub_b_sub_f|3
,integer,260,k_health-outcomes_sub_b_sub_f|4
,integer,261,k_health-outcomes_sub_b_sub_f|5
,integer,262,k_health-outcomes_sub_b_sub_f|6
,integer,263,k_health-outcomes_sub_b_sub_g|0
,integer,264,k_health-outcomes_sub_b_sub_g|1
,integer,265,k_health-outcomes_sub_b_sub_g|2
,integer,266,k_health-outcomes_sub_b_sub_h|0
,integer,267,k_health-outcomes_sub_b_sub_h|1
,integer,268,k_health-outcomes_sub_b_sub_h|2
,integer,269,k_health-outcomes_sub_b_sub_h|3
,integer,270,k_health-outcomes_sub_b_sub_h|4
,integer,271,k_health-outcomes_sub_b_sub_h|5
,integer,272,k_health-outcomes_sub_b_sub_h|6
,integer,273,k_health-outcomes_sub_b_sub_h|7
,integer,274,k_health-outcomes_sub_b_sub_h|8
,integer,275,k_health-outcomes_sub_b_sub_h|9
,integer,276,k_health-outcomes_sub_b_sub_h|10
,integer,277,k_health-outcomes_sub_b_sub_h|11
,integer,278,k_health-outcomes_sub_b_sub_i|0
,integer,279,k_health-outcomes_sub_b_sub_i|1
,integer,280,k_health-outcomes_sub_b_sub_i|2
,integer,281,k_health-outcomes_sub_b_sub_j|0
,integer,282,k_health-outcomes_sub_b_sub_j|1
,integer,283,k_health-outcomes_sub_b_sub_j|2
,integer,284,k_health-outcomes_sub_b_sub_j|3
,integer,285,k_health-outcomes_sub_b_sub_j|4
,integer,286,k_health-outcomes_sub_b_sub_j|5
,integer,287,k_health-outcomes_sub_b_sub_j|6
,integer,288,k_health-outcomes_sub_c|0
,integer,289,k_health-outcomes_sub_c|1
,integer,290,k_health-outcomes_sub_c|2
,integer,291,k_health-outcomes_sub_c_sub|0
,integer,292,k_health-outcomes_sub_c_sub|1
,integer,293,k_health-outcomes_sub_c_sub|2
,integer,294,k_health-outcomes_sub_c_sub|3
,integer,295,k_health-outcomes_sub_c_sub_a|0
,integer,296,k_health-outcomes_sub_c_sub_a|1
,integer,297,k_health-outcomes_sub_c_sub_a|2
,integer,298,k_health-outcomes_sub_c_sub_a|3
,integer,299,k_health-outcomes_sub_c_sub_a|4
,integer,300,k_health-outcomes_sub_c_sub_a|5
,integer,301,k_health-outcomes_sub_c_sub_a|6
,integer,302,k_health-outcomes_sub_c_sub_a|7
,integer,303,k_health-outcomes_sub_c_sub_a|8
,integer,304,k_health-outcomes_sub_c_sub_a|9
,integer,305,k_health-outcomes_sub_c_sub_a|10
,integer,306,k_health-outcomes_sub_c_sub_a|11
,integer,307,k_human-settlements|0
,integer,308,k_human-settlements|1
,integer,309,k_human-settlements|2
,integer,310,k_human-settlements|3
,integer,311,k_human-settlements|4
,integer,312,k_human-settlements_sub|0
,integer,313,k_human-settlements_sub|1
,integer,314,k_human-settlements_sub|2
,integer,315,k_human-settlements_sub|3
,integer,316,k_interventions-responses-solutions|0
,integer,317,k_interventions-responses-solutions|1
,integer,318,k_interventions-responses-solutions|2
,integer,319,k_interventions-responses-solutions|3
,integer,320,k_interventions-responses-solutions|4
,integer,321,k_interventions-responses-solutions|5
,integer,322,k_interventions-responses-solutions_sub|0
,integer,323,k_interventions-responses-solutions_sub|1
,integer,324,k_interventions-responses-solutions_sub_sub|0
,integer,325,k_interventions-responses-solutions_sub_sub|1
,integer,326,k_interventions-responses-solutions_sub_sub|2
,integer,327,k_interventions-responses-solutions_sub_sub|3
,integer,328,k_interventions-responses-solutions_sub_sub|4
,integer,329,k_interventions-responses-solutions_sub_sub|5
,integer,330,k_interventions-responses-solutions_sub_sub|6
,integer,331,k_interventions-responses-solutions_sub_sub|7
,integer,332,k_interventions-responses-solutions_sub_sub_a|0
,integer,333,k_interventions-responses-solutions_sub_sub_a|1
,integer,334,k_interventions-responses-solutions_sub_sub_a|2
,integer,335,k_interventions-responses-solutions_sub_sub_a|3
,integer,336,k_interventions-responses-solutions_sub_sub_a|4
,integer,337,k_interventions-responses-solutions_sub_a|0
,integer,338,k_interventions-responses-solutions_sub_a|1
,integer,339,k_interventions-responses-solutions_sub_a|2
,integer,340,k_interventions-responses-solutions_sub_a|3
,integer,341,k_interventions-responses-solutions_sub_a|4
,integer,342,k_interventions-responses-solutions_sub_a|5
,integer,343,k_interventions-responses-solutions_sub_b|0
,integer,344,k_interventions-responses-solutions_sub_b|1
,integer,345,k_interventions-responses-solutions_sub_b|2
,integer,346,k_interventions-responses-solutions_sub_b|3
,integer,347,k_interventions-responses-solutions_sub_c|0
,integer,348,k_interventions-responses-solutions_sub_c|1
,integer,349,k_interventions-responses-solutions_sub_c|2
,integer,350,k_interventions-responses-solutions_sub_c|3
,integer,351,k_interventions-responses-solutions_sub_c|4
,integer,352,k_interventions-responses-solutions_sub_c_sub|0
,integer,353,k_interventions-responses-solutions_sub_c_sub|1
,integer,354,k_interventions-responses-solutions_sub_c_sub|2
,integer,355,k_interventions-responses-solutions_sub_c_sub|3
,integer,356,k_interventions-responses-solutions_sub_c_sub|4
,integer,357,k_interventions-responses-solutions_sub_c_sub|5
,integer,358,k_interventions-responses-solutions_sub_c_sub|6
,integer,359,k_interventions-responses-solutions_sub_d|0
,integer,360,k_interventions-responses-solutions_sub_d|1
,integer,361,k_interventions-responses-solutions_sub_d|2
,integer,362,k_interventions-responses-solutions_sub_d|3
,integer,363,k_interventions-responses-solutions_sub_d|4
,integer,364,k_interventions-responses-solutions_sub_e|0
,integer,365,k_interventions-responses-solutions_sub_e|1
,integer,366,k_interventions-responses-solutions_sub_e|2
,integer,367,k_interventions-responses-solutions_sub_e_sub|0
,integer,368,k_interventions-responses-solutions_sub_e_sub|1
,integer,369,k_interventions-responses-solutions_sub_e_sub|2
,integer,370,k_interventions-responses-solutions_sub_e_sub|3
,integer,371,k_interventions-responses-solutions_sub_e_sub|4
,integer,372,k_interventions-responses-solutions_sub_e_sub|5
,integer,373,k_interventions-responses-solutions_sub_e_sub_a|0
,integer,374,k_interventions-responses-solutions_sub_e_sub_a|1
,integer,375,k_interventions-responses-solutions_sub_e_sub_a|2
,integer,376,k_interventions-responses-solutions_sub_e_sub_a|3
,integer,377,k_interventions-responses-solutions_sub_e_sub_a|4
,integer,378,k_interventions-responses-solutions_sub_e_sub_a|5
,integer,379,k_interventions-responses-solutions_sub_e_sub_a|6
,integer,380,k_interventions-responses-solutions_sub_e_sub_b|0
,integer,381,k_interventions-responses-solutions_sub_e_sub_b|1
,integer,382,k_interventions-responses-solutions_sub_e_sub_b|2
,integer,383,k_interventions-responses-solutions_sub_e_sub_b|3
,integer,384,k_interventions-responses-solutions_sub_e_sub_b|4
,integer,385,k_interventions-responses-solutions_sub_e_sub_b|5
,integer,386,k_interventions-responses-solutions_sub_e_sub_b|6
,integer,387,k_methods|0
,integer,388,k_methods|1
,integer,389,k_methods_sub|0
,integer,390,k_methods_sub|1
,integer,391,k_methods_sub|2
,integer,392,k_methods_sub|3
,integer,393,k_methods_sub|4
,integer,394,k_methods_sub|5
,integer,395,k_methods_sub|6
,integer,396,k_methods_sub|7
,integer,397,k_methods_sub|8
,integer,398,k_methods_sub_sub|0
,integer,399,k_methods_sub_sub|1
,integer,400,k_methods_sub_sub|2
,integer,401,k_methods_sub_sub|3
,integer,402,k_methods_sub_sub_sub|0
,integer,403,k_methods_sub_sub_sub|1
,integer,404,k_methods_sub_sub_sub|2
,integer,405,k_methods_sub_sub_sub|3
,integer,406,k_methods_sub_sub_sub|4
,integer,407,k_methods_sub_sub_sub|5
,integer,408,k_methods_sub_sub_a|0
,integer,409,k_methods_sub_sub_b|0
,integer,410,k_methods_sub_sub_b|1
,integer,411,k_methods_sub_sub_b|2
,integer,412,k_methods_sub_sub_c|0
,integer,413,k_methods_sub_sub_c|1
,integer,414,k_methods_sub_sub_c|2
,integer,415,k_methods_sub_sub_c|3
,integer,416,k_methods_sub_sub_c|4
,integer,417,k_methods_sub_sub_d|0
,integer,418,k_methods_sub_sub_d|1
,integer,419,k_methods_sub_sub_d|2
,integer,420,k_methods_sub_sub_d|3
,integer,421,k_methods_sub_sub_e|0
,integer,422,k_methods_sub_sub_e|1
,integer,423,k_methods_sub_sub_f|0
,integer,424,k_methods_sub_sub_f|1
,integer,425,k_methods_sub_sub_f|2
,integer,426,k_methods_sub_a|0
,integer,427,k_methods_sub_a|1
,integer,428,k_methods_sub_a|2
,integer,429,k_methods_sub_a|3
,integer,430,k_methods_sub_a|4
,integer,431,k_methods_sub_a|5
,integer,432,k_methods_sub_a_sub|0
,integer,433,k_methods_sub_a_sub|1
,integer,434,k_methods_sub_a_sub|2
,integer,435,k_methods_sub_a_sub|3
,integer,436,k_methods_sub_a_sub|4
,integer,437,k_methods_sub_a_sub|5
,integer,438,k_methods_sub_a_sub|6
,integer,439,k_methods_sub_a_sub|7
,integer,440,k_methods_sub_a_sub|8
,integer,441,k_population-age|0
,integer,442,k_population-age|1
,integer,443,k_population-age|2
,integer,444,k_population-age|3
,integer,445,k_population-age|4
,integer,446,k_population-age_sub|0
,integer,447,k_population-age_sub_a|0
,integer,448,k_population-age_sub_a|1
,integer,449,k_population-age_sub_b|0
,integer,450,k_population-age_sub_b|1
,integer,451,k_population-age_sub_b|2
,integer,452,k_population-age_sub_b_sub|0
,integer,453,k_population-age_sub_b_sub|1
,integer,454,k_population-gender-sex|0
,integer,455,k_population-gender-sex|1
,integer,456,k_population-gender-sex|2
,integer,457,k_population-gender-sex|3
,integer,458,k_population-vulnerability|0
,integer,459,k_population-vulnerability|1
,integer,460,k_population-vulnerability|2
,integer,461,k_population-vulnerability|3
,integer,462,k_population-vulnerability|4
,integer,463,k_population-vulnerability|5
,integer,464,k_population-vulnerability|6
,integer,465,k_population-vulnerability|7
,integer,466,k_population-vulnerability|8
,integer,467,k_population-vulnerability|9
,integer,468,k_population-vulnerability|10
,integer,469,k_publication-type|0
,integer,470,k_publication-type|1
,integer,471,k_publication-type|2
,integer,472,k_publication-type|3
,integer,473,k_publication-type|4
,integer,474,k_sectors|0
,integer,475,k_sectors|1
,integer,476,k_sectors|2
,integer,477,k_sectors|3
,integer,478,k_sectors|4
,integer,479,k_sectors|5
,integer,480,k_sectors|6
,integer,481,k_sectors|7
,integer,482,k_sectors|8
,integer,483,k_sectors|9
,integer,484,k_sectors|10
,integer,485,k_sectors|11
,integer,486,k_sectors|12
,integer,487,k_topic|0
,integer,488,k_topic|1
,integer,489,k_topic|2
,integer,490,k_topic_sub|0
,integer,491,k_topic_sub|1
,integer,492,k_topic_sub|2
,integer,493,k_topic_sub_a|0
,integer,494,k_topic_sub_a|1
,integer,495,k_topic_sub_a|2
,integer,496,k_topic_sub_b|0
